Receptor,Smiles,Ligand_ID,Action,Database,Ki
5HT2C,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,191.0,Antagonist,GtoPharm,1.995262314968883
5HT2C,C[C@H](N)Cn1ccc2cc(F)c(Cl)cc21,166.0,Agonist,GtoPharm,19.0
5HT2C,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,124.0,Agonist,GtoPharm,159.0
5HT2C,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1,D04AZE,Antagonist,TTD,1513.56
5HT2C,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,193.0,Antagonist,GtoPharm,2.19
5HT2C,Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,47.0,Agonist,GtoPharm,6.8
5HT2C,Cc1ccc(N2CCN(CCCCc3ccc(F)cc3)CC2)nc1,CHEMBL3289648,Modulator,ChEMBL,1607.0
5HT2C,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1,130.0,Antagonist,GtoPharm,1995.26
5HT2C,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,96.0,Antagonist,GtoPharm,35.0
5HT2C,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,CHEMBL267777,Antagonist,ChEMBL,0.71
5HT2C,Cl.Fc1ccc(CCCCN2CCN(c3cccc(-c4ccccc4)n3)CC2)cc1,CHEMBL4743284,Modulator,ChEMBL,2951.21
5HT2C,Clc1ccc2c(c1)CC(CCN1CCN(c3ccccn3)CC1)C2,CHEMBL4866058,Agonist,ChEMBL,2754.23
5HT2C,Clc1cccc(N2CCNCC2)c1,CHEMBL478,Agonist,ChEMBL,17.0
5HT2C,Clc1cncc(N2CCNCC2)n1,165.0,Agonist,GtoPharm,97.72
5HT2C,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,189.0,Antagonist,GtoPharm,16.22
5HT2C,FC(F)(F)c1cccc(N2CCNCC2)c1,115.0,Agonist,GtoPharm,22.0
5HT2C,Fc1ccc(CCCCN2CCN(c3ccc(Cl)cn3)CC2)cc1,CHEMBL4462108,Modulator,ChEMBL,1024.0
5HT2C,Fc1ccc2c(c1)CC(CCN1CCCN(c3ccccn3)CC1)C2,CHEMBL4474014,Modulator,ChEMBL,963.0
5HT2C,NCCc1c[nH]c2ccc(O)cc12,5.0,Antagonist,GtoPharm,2.5
5HT2C,NCCc1c[nH]c2ccccc12,125.0,Agonist,GtoPharm,62.0
5HT2C,Nc1ccc(C(=O)CCCN2CCN(c3ccccn3)CC2)cc1,CHEMBL4861794,Modulator,ChEMBL,35.0
5HT2C,O=C(CCCN1C2CCC1CN(c1ccc(Cl)cn1)C2)c1ccc(F)cc1,CHEMBL4789472,Modulator,ChEMBL,1348.96
5HT2C,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,99.0,Antagonist,GtoPharm,988.0
5HT2C,O=C(CCCN1CCCN(c2ccc(Cl)cn2)CC1)c1ccc(F)cc1,CHEMBL4574793,Modulator,ChEMBL,389.05
5HT2C,O=C(CCCN1CCCN(c2ccccn2)CC1)c1ccc(F)cc1,CHEMBL4533305,Modulator,ChEMBL,337.0
5HT2C,O=C(CCCN1CCN(c2ccc(Cl)cn2)CC1)c1ccc(F)cc1,CHEMBL4573441,Modulator,ChEMBL,1540.0
5HT2C,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,CHEMBL340211,Modulator,ChEMBL,1348.96
5HT2C,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc2c(c1)CCC2,CHEMBL4874069,Modulator,ChEMBL,112.2
5HT2C,O=C(O)C(=O)O.O=C1CCc2cc(OCCCN3CCCN(c4ccccn4)CC3)ccc2N1,CHEMBL4859722,Modulator,ChEMBL,6606.93
5HT2C,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,88.0,Antagonist,GtoPharm,61.66
5HT2C,O=C1CCc2cc(CCCCN3CCN(c4ccccn4)CC3)ccc2N1,CHEMBL4857597,Modulator,ChEMBL,1122.02
5HT2C,O=C1CCc2cc(OCCCN3CCN(c4ccccn4)CC3)ccc21,CHEMBL4870361,Modulator,ChEMBL,1005.0
5HT2C,O=C1CCc2cc(OCCCN3CCN(c4ccccn4)CC3)ccc2N1,CHEMBL4865591,Modulator,ChEMBL,1202.26
5HT2C,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,CHEMBL1112,Agonist,ChEMBL,95.5
5HT2C,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,59.0,Agonist,GtoPharm,0.98
5HT2C,O=C1Nc2cc(Cl)c(Cl)cc2N2CCNC[C@H]12,CHEMBL303516,Agonist,ChEMBL,32.0
5HT2C,O=C1c2cc(Cl)c(Cl)cc2CC1CCN1CCN(c2ccccn2)CC1,CHEMBL4854456,Modulator,ChEMBL,1644.0
5HT2C,O=C1c2cc(Cl)ccc2CC1CCN1CCN(c2ccccn2)CC1,CHEMBL4876297,Modulator,ChEMBL,1698.24
5HT2C,O=C1c2ccc(Cl)cc2CC1CCCCN1CCN(c2ccccn2)CC1,CHEMBL4857665,Modulator,ChEMBL,363.08
5HT2C,O=C1c2ccc(Cl)cc2CC1CCCN1CCN(c2ccccn2)CC1,CHEMBL4862180,Modulator,ChEMBL,1875.0
5HT2C,O=C1c2ccc(Cl)cc2CC1CCN1CCN(c2ccccn2)CC1,CHEMBL4872800,Modulator,ChEMBL,1980.0
5HT2C,O=C1c2ccc(F)cc2CC1CCN1CCCN(c2ccc(Cl)cc2)CC1,CHEMBL1946124,Modulator,ChEMBL,3775.0
5HT2C,O=C1c2ccc(F)cc2CC1CCN1CCCN(c2ccc(Cl)cn2)CC1,CHEMBL4558031,Modulator,ChEMBL,355.0
5HT2C,c1cc2c3c(c1)[C@H]1CCC[C@H]1N3CCNC2,229.0,Agonist,GtoPharm,221.0
5HT2C,c1ccc2nc(N3CCNCC3)ccc2c1,173.0,Agonist,GtoPharm,160.0
5HT6R,CC(Oc1cc(Cl)cc(Cl)c1)c1nc(N)nc(N2CCN(C)CC2)n1,CHEMBL4860006,Antagonist,ChEMBL,27.0
5HT6R,CC(Oc1cc(Cl)ccc1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,CHEMBL4846146,Antagonist,ChEMBL,13.0
5HT6R,CC(Oc1ccc(Cl)c(Cl)c1)c1nc(N)nc(N2CCN(C)CC2)n1,CHEMBL4861431,Antagonist,ChEMBL,95.0
5HT6R,CC(Oc1cccc(Cl)c1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,CHEMBL4855393,Antagonist,ChEMBL,15.85
5HT6R,CC(Oc1ccccc1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,CHEMBL4447416,Agonist,ChEMBL,23.0
5HT6R,CCC(Oc1cc(Cl)cc(Cl)c1)c1nc(N)nc(N2CCN(C)CC2)n1,CHEMBL4876727,Antagonist,ChEMBL,11.0
5HT6R,CCC(Oc1cc(Cl)ccc1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,CHEMBL4860275,Agonist,ChEMBL,6.026
5HT6R,CCC(Oc1ccc(Cl)c(Cl)c1)c1nc(N)nc(N2CCN(C)CC2)n1,CHEMBL4857676,Modulator,ChEMBL,86.0
5HT6R,CCC(Oc1cccc(Cl)c1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,CHEMBL4873623,Antagonist,ChEMBL,209.0
