Receptor,Ligand,Action,Smiles
D1R,SKF-83566,Antagonist,CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1
D1R,[<sup>125</sup>I]SCH23982,Antagonist,CN1CCc2cc([125I])c(O)cc2[C@@H](c2ccccc2)C1
D1R,flupentixol,Antagonist,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
D1R,(-)-SKF-82526,Agonist,Oc1ccc([C@H]2CNCCc3c2cc(O)c(O)c3Cl)cc1
D1R,ecopipam,Antagonist,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21
D1R,A68930,Agonist,NC[C@@H]1O[C@H](c2ccccc2)Cc2c1ccc(O)c2O
D1R,mesoridazine,Antagonist,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21
D1R,prochlorperazine,Antagonist,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
D1R,SKF-83959,Agonist,Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1
D1R,periciazine,Antagonist,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2
D1R,A77636,Agonist,NC[C@@H]1O[C@H](C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O
D1R,mevidalen,Modulator,C[C@H]1c2cccc(CCC(C)(C)O)c2C[C@H](CO)N1C(=O)Cc1c(Cl)cccc1Cl
D1R,SKF-82958,Agonist,C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1
D1R,LY3154885,Modulator,C[C@H]1c2cccc(-c3cnn(C)c3)c2C[C@H](CO)N1C(=O)Cc1c(Cl)cccc1Cl
D1R,UCM-1306,Modulator,CS(=N)(=O)c1ccc(-c2ccccc2OCF)cc1
D1R,tavapadon,Agonist,Cc1cc(Oc2ncccc2C(F)(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C
D2R,quinpirole,Agonist,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21
D2R,asenapine,Antagonist,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1
D2R,apomorphine,Agonist,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
D2R,aripiprazole,Agonist,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
D2R,bromocriptine,Agonist,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
D2R,cabergoline,Agonist,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
D2R,clozapine,Antagonist,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
D2R,lisuride,Agonist,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
D2R,nafadotride,Antagonist,CCCCN1CCCC1CNC(=O)c1cc(C#N)c2ccccc2c1OC
D2R,olanzapine,Antagonist,Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1
D2R,pergolide,Agonist,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
D2R,piribedil,Agonist,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1
D2R,quetiapine,Antagonist,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
D2R,roxindole,Agonist,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1
D2R,terguride,Agonist,CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
D2R,ziprasidone,Antagonist,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
D2R,(+)-butaclamol,Antagonist,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
D2R,chlorpromazine,Antagonist,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
D2R,haloperidol,Antagonist,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
D2R,pimozide,Antagonist,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
D2R,raclopride,Antagonist,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
D2R,risperidone,Antagonist,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
D2R,sertindole,Antagonist,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
D2R,zotepine,Antagonist,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
D2R,"L-741,626",Antagonist,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1
D2R,fluphenazine,Antagonist,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
D2R,loxapine,Antagonist,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
D2R,perphenazine,Antagonist,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
D2R,trifluoperazine,Antagonist,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
D2R,dopamine,Agonist,NCCc1ccc(O)c(O)c1
D2R,rotigotine,Agonist,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1
D2R,flupentixol,Antagonist,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
D2R,7-OH-DPAT,Agonist,CCCN(CCC)C1CCc2ccc(O)cc2C1
D2R,7-trans-OH-PIPAT,Agonist,CCCN(C/C=C\I)[C@@H]1CCc2cccc(O)c2C1
D2R,PD 128907,Agonist,CCCN1CCO[C@H]2c3cc(O)ccc3OC[C@@H]21
D2R,pramipexole,Agonist,CCCN[C@H]1CCc2nc(N)sc2C1
D2R,quinelorane,Agonist,CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21
D2R,(+)-S-14297,Antagonist,CCCN(CCC)C1CCc2cc3c(cc2C1)OCC3
D2R,(+)-SCH-23390,Antagonist,CN1CCc2cc(Cl)c(O)cc2[C@H](c2ccccc2)C1
D2R,(+)-UH232,Antagonist,CCCN(CCC)[C@@H]1C=Cc2c(OC)cccc2[C@@H]1C
D2R,(-)-sulpiride,Antagonist,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
D2R,(+)-sulpiride,Antagonist,CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
D2R,[<sup>3</sup>H]nemonapride,Antagonist,CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl
D2R,amisulpride,Antagonist,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
D2R,domperidone,Antagonist,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
D2R,eticlopride,Antagonist,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
D2R,<i>trans</i>-flupenthixol,Antagonist,OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
D2R,(-)-N-porphynorapomorphine,Agonist,CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
D2R,sumanirole,Agonist,CN[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1
D2R,sulpiride,Antagonist,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
D2R,benzquinamide,Agonist,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O
D2R,mesoridazine,Antagonist,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21
D2R,prochlorperazine,Antagonist,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
D2R,promazine,Antagonist,CN(C)CCCN1c2ccccc2Sc2ccccc21
D2R,ropinirole,Agonist,CCCN(CCC)CCc1cccc2c1CC(O)=N2
D2R,vilazodone,Agonist,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1
D2R,perospirone,Antagonist,O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
D2R,pipotiazine,Antagonist,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2
D2R,UNC9975,Agonist,O=C1CCc2ccc(OCCCCN3CCCN(c4cccc(Cl)c4Cl)CC3)nc2N1
D2R,UNC0006,Agonist,O=C1CCc2ccc(OCCCCN3CCCN(c4cccc(Cl)c4Cl)CC3)cc2N1
D2R,UNC9994,Agonist,Clc1cccc(C2CCN(CCCOc3ccc4scnc4c3)CC2)c1Cl
D2R,blonanserin,Antagonist,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1
D2R,cariprazine,Agonist,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1
D2R,brexpiprazole,Agonist,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1
D2R,SB269652,Modulator,N#Cc1ccc2c(c1)CN(CC[C@H]1CC[C@H](NC(=O)c3cc4ccccc4[nH]3)CC1)CC2
D2R,ML321,Antagonist,CN1C(=O)c2ccccc2[S@](=O)c2ccc(C(=O)NCCc3cccs3)cc21
D2R,MLS1547,Agonist,Oc1c(CN2CCN(c3ccccn3)CC2)cc(Cl)c2cccnc12
D2R,(-)-stepholidine,Antagonist,COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2
D2R,LP-12,Agonist,O=C(CCCCCN1CCN(c2ccccc2-c2ccccc2)CC1)NC1CCCc2ccccc21
D2R,LP-44,Agonist,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
D2R,LP-211,Agonist,N#Cc1ccc(CNC(=O)CCCCCN2CCN(c3ccccc3-c3ccccc3)CC2)cc1
D2R,lumateperone,Antagonist,CN1CCN2c3c(cccc31)C1CN(CCCC(=O)c3ccc(F)cc3)CCC12
D2R,HS665,Agonist,Oc1cccc(CCN(CCc2ccccc2)CC2CCC2)c1
D2R,compound 3 [PMID: 23134120],Agonist,Oc1cccc(CCN(CCc2ccccc2)CC2CC2)c1
D2R,benperidol,Antagonist,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
D2R,R-VK4-40,Antagonist,CCc1cccc(N2CCN(C[C@H](O)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1Cl
D2R,EGIS-11150,Antagonist,Cn1ncc(NCCN2CCC(c3noc4cc(F)ccc34)CC2)c(Cl)c1=O
D2R,chlorprothixene,Antagonist,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
D3R,quinpirole,Agonist,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21
D3R,apomorphine,Agonist,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
D3R,bromocriptine,Agonist,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
D3R,cabergoline,Agonist,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
D3R,clozapine,Antagonist,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
D3R,lisuride,Agonist,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
D3R,nafadotride,Antagonist,CCCCN1CCCC1CNC(=O)c1cc(C#N)c2ccccc2c1OC
D3R,pergolide,Agonist,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
D3R,piribedil,Agonist,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1
D3R,roxindole,Agonist,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1
D3R,terguride,Agonist,CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
D3R,(+)-butaclamol,Antagonist,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
D3R,chlorpromazine,Antagonist,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
D3R,haloperidol,Antagonist,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
D3R,pimozide,Antagonist,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
D3R,raclopride,Antagonist,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
D3R,risperidone,Antagonist,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
D3R,sertindole,Antagonist,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
D3R,spiperone,Antagonist,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
D3R,zotepine,Antagonist,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
D3R,S33084,Antagonist,N#Cc1ccc2c(c1)[C@H]1CN(CCCCNC(=O)c3ccc(-c4ccccc4)cc3)C[C@@H]1CO2
D3R,SB 277011-A,Antagonist,N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2
D3R,loxapine,Antagonist,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
D3R,dopamine,Agonist,NCCc1ccc(O)c(O)c1
D3R,rotigotine,Agonist,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1
D3R,flupentixol,Antagonist,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
D3R,7-OH-DPAT,Agonist,CCCN(CCC)C1CCc2ccc(O)cc2C1
D3R,7-trans-OH-PIPAT,Agonist,CCCN(C/C=C\I)[C@@H]1CCc2cccc(O)c2C1
D3R,PD 128907,Agonist,CCCN1CCO[C@H]2c3cc(O)ccc3OC[C@@H]21
D3R,pramipexole,Agonist,CCCN[C@H]1CCc2nc(N)sc2C1
D3R,quinelorane,Agonist,CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21
D3R,(+)-S-14297,Antagonist,CCCN(CCC)C1CCc2cc3c(cc2C1)OCC3
D3R,(+)-UH232,Antagonist,CCCN(CCC)[C@@H]1C=Cc2c(OC)cccc2[C@@H]1C
D3R,(-)-sulpiride,Antagonist,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
D3R,(+)-sulpiride,Antagonist,CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
D3R,[<sup>3</sup>H]nemonapride,Antagonist,CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl
D3R,domperidone,Antagonist,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
D3R,eticlopride,Antagonist,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
D3R,<i>trans</i>-flupenthixol,Antagonist,OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
D3R,(-)-N-porphynorapomorphine,Agonist,CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
D3R,(+)-AJ76,Antagonist,CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C
D3R,nemonapride,Antagonist,CNc1cc(OC)c(C(=O)NC2CCN(Cc3ccccc3)C2C)cc1Cl
D3R,sulpiride,Antagonist,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
D3R,NGB 2904,Antagonist,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2
D3R,PG01037,Antagonist,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
D3R,mesoridazine,Antagonist,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21
D3R,prochlorperazine,Antagonist,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
D3R,promazine,Antagonist,CN(C)CCCN1c2ccccc2Sc2ccccc21
D3R,ropinirole,Agonist,CCCN(CCC)CCc1cccc2c1CC(O)=N2
D3R,vilazodone,Agonist,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1
D3R,perospirone,Antagonist,O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
D3R,BP 897,Agonist,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1
D3R,cariprazine,Agonist,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1
D3R,PF-592379,Agonist,CCCN1C[C@@H](c2ccc(N)nc2)OC[C@@H]1C
D3R,SB269652,Modulator,N#Cc1ccc2c(c1)CN(CC[C@H]1CC[C@H](NC(=O)c3cc4ccccc4[nH]3)CC1)CC2
D3R,HS665,Agonist,Oc1cccc(CCN(CCc2ccccc2)CC2CCC2)c1
D3R,compound 3 [PMID: 23134120],Agonist,Oc1cccc(CCN(CCc2ccccc2)CC2CC2)c1
D3R,R-VK4-40,Antagonist,CCc1cccc(N2CCN(C[C@H](O)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1Cl
D3R,chlorprothixene,Antagonist,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
D4R,quinpirole,Agonist,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21
D4R,apomorphine,Agonist,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
D4R,bromocriptine,Antagonist,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
D4R,cabergoline,Agonist,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
D4R,clozapine,Antagonist,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
D4R,lisuride,Agonist,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
D4R,pergolide,Agonist,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
D4R,piribedil,Antagonist,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1
D4R,roxindole,Agonist,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1
D4R,terguride,Antagonist,CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
D4R,(+)-butaclamol,Antagonist,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
D4R,WAY-100635,Agonist,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1
D4R,chlorpromazine,Antagonist,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
D4R,haloperidol,Antagonist,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
D4R,sertindole,Antagonist,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
D4R,spiperone,Antagonist,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
D4R,zotepine,Antagonist,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
D4R,loxapine,Antagonist,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
D4R,trifluoperazine,Antagonist,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
D4R,fenoldopam,Agonist,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
D4R,dopamine,Agonist,NCCc1ccc(O)c(O)c1
D4R,rotigotine,Agonist,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1
D4R,(-)-sulpiride,Antagonist,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
D4R,(+)-sulpiride,Antagonist,CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
D4R,eticlopride,Antagonist,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
D4R,sonepiprazole,Antagonist,NS(=O)(=O)c1ccc(N2CCN(CC[C@@H]3OCCc4ccccc43)CC2)cc1
D4R,nemonapride,Antagonist,CNc1cc(OC)c(C(=O)NC2CCN(Cc3ccccc3)C2C)cc1Cl
D4R,[<sup>125</sup>I]L750667,Antagonist,[125I]c1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1
D4R,[<sup>3</sup>H]NGD941,Antagonist,c1ccc(-c2ncc(CN3CCN(c4ncccn4)CC3)[nH]2)cc1
D4R,A412997,Agonist,Cc1cccc(NC(=O)CN2CCC(c3ccccn3)CC2)c1
D4R,L741742,Antagonist,Cc1c(C2CCN(CCc3ccccc3)CC2)noc1-c1ccc(Cl)cc1
D4R,L745870,Antagonist,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1
D4R,U101958,Antagonist,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1
D4R,prochlorperazine,Antagonist,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
D4R,perospirone,Antagonist,O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
D4R,PF-592379,Agonist,CCCN1C[C@@H](c2ccc(N)nc2)OC[C@@H]1C
D4R,ABT-670,Agonist,Cc1cccc(C(=O)NCN2CCC(c3cccc[n+]3[O-])CC2)c1
D4R,ML398,Antagonist,Clc1ccc(CN2CCO[C@H](CCc3ccccc3)C2)cc1
D4R,A-381393,Antagonist,Cc1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)cc1C
D4R,benperidol,Antagonist,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
D5R,5-hydroxytryptamine,Agonist,NCCc1c[nH]c2ccc(O)cc12
D5R,apomorphine,Agonist,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
D5R,bromocriptine,Agonist,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
D5R,cabergoline,Agonist,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
D5R,clozapine,Antagonist,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
D5R,lisuride,Agonist,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
D5R,pergolide,Agonist,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
D5R,(+)-butaclamol,Antagonist,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
D5R,chlorpromazine,Antagonist,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
D5R,haloperidol,Antagonist,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
D5R,ketanserin,Antagonist,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
D5R,spiperone,Antagonist,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
D5R,thioridazine,Antagonist,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
